source_id,source_name,target_id,target_name,weight
eduardo_gruner,Eduardo Grüner,friedrich_nietzsche,Friedrich Nietzsche,5
eduardo_gruner,Eduardo Grüner,paul_valery,Ambroise Valéry,2
eduardo_gruner,Eduardo Grüner,ezra_pound,Ezra Pound,1
eduardo_gruner,Eduardo Grüner,rabelais,François Rabelais,58
eduardo_gruner,Eduardo Grüner,soren_kierkegaard,Søren Kierkegaard,5
eduardo_gruner,Eduardo Grüner,bocaccio,Giovanni Boccaccio,1
eduardo_gruner,Eduardo Grüner,petrarca,Francesco Petrarca,2
eduardo_gruner,Eduardo Grüner,bosco,Hieronymus Bosch,1
eduardo_gruner,Eduardo Grüner,platon,Platón,2
eduardo_gruner,Eduardo Grüner,ciceron,Marco Cicerón,1
eduardo_gruner,Eduardo Grüner,quintiliano,Marco Quintiliano,1
eduardo_gruner,Eduardo Grüner,gilbert_dubois,Claude-Gilbert Dubois,2
eduardo_gruner,Eduardo Grüner,jesus,de Nazaret Jesús,1
eduardo_gruner,Eduardo Grüner,bajtin,Mijaíl Bajtín,10
eduardo_gruner,Eduardo Grüner,hermes_trismegisto,Trismegisto Hermes,1
eduardo_gruner,Eduardo Grüner,pierre_ronsard,Pierre Ronsard,1
eduardo_gruner,Eduardo Grüner,du_bellay,Joachim Du Bellay,1
eduardo_gruner,Eduardo Grüner,montaigne,Michel Montaigne,1
eduardo_gruner,Eduardo Grüner,da_vinci,Leonardo Vinci,2
eduardo_gruner,Eduardo Grüner,arcimboldo,Giuseppe Arcimboldo,2
eduardo_gruner,Eduardo Grüner,lacan,Jacques Lacan,2
eduardo_gruner,Eduardo Grüner,maurits_escher,Maurits Escher,1
eduardo_gruner,Eduardo Grüner,della_mirandola,Giovanni Pico della Mirandola,1
eduardo_gruner,Eduardo Grüner,erich_auerbach,Erich Auerbach,1
eduardo_gruner,Eduardo Grüner,luciano_samosata,de Samósata Luciano,1
eduardo_gruner,Eduardo Grüner,tomas_moro,Tomás Moro,1
eduardo_gruner,Eduardo Grüner,nicolas_copernico,Nicolás Copérnico,1
eduardo_gruner,Eduardo Grüner,andres_vesalio,Andrés Vesalio,1
eduardo_gruner,Eduardo Grüner,aristoteles,Aristóteles,2
eduardo_gruner,Eduardo Grüner,ernst_curtius,Ernst Curtius,2
eduardo_gruner,Eduardo Grüner,baudelaire,Charles Baudelaire,2
eduardo_gruner,Eduardo Grüner,martin_heidegger,Martin Heidegger,1
eduardo_gruner,Eduardo Grüner,pascal,Blaise Pascal,1
eduardo_gruner,Eduardo Grüner,fermat,Pierre Fermat,1
eduardo_gruner,Eduardo Grüner,michel_foucault,Michel Foucault,6
eduardo_gruner,Eduardo Grüner,spitzer,Leo Spitzer,3
eduardo_gruner,Eduardo Grüner,ts_eliot,T. Eliot,1
eduardo_gruner,Eduardo Grüner,harold_bloom,Harold Bloom,2
eduardo_gruner,Eduardo Grüner,edgar_allan_poe,Edgar Poe,2
eduardo_gruner,Eduardo Grüner,de_dieguez,Manuel Diéguez,1
eduardo_gruner,Eduardo Grüner,todorov,Tzvetan Todorov,2
eduardo_gruner,Eduardo Grüner,georges_bataille,Georges Bataille,1
eduardo_gruner,Eduardo Grüner,merleau_ponty,Maurice Merleau-Ponty,1
eduardo_gruner,Eduardo Grüner,romero_martinez,Miguel Romero Martínez,1
eduardo_gruner,Eduardo Grüner,simmias,de Tebas Simmias,1
eduardo_gruner,Eduardo Grüner,miguel_d_ors,Miguel d'Ors,1
eduardo_gruner,Eduardo Grüner,michel_leiris,Michel Leiris,1
eduardo_gruner,Eduardo Grüner,gunter_grass,Günter Grass,1
eduardo_gruner,Eduardo Grüner,miguel_saenz,Miguel Sáenz,1
eduardo_gruner,Eduardo Grüner,luis_bunuel,Luis Buñuel,1
eduardo_gruner,Eduardo Grüner,karl_marx,Karl Marx,3
eduardo_gruner,Eduardo Grüner,kant,Immanuel Kant,3
eduardo_gruner,Eduardo Grüner,ronald_reagan,Ronald Reagan,2
eduardo_gruner,Eduardo Grüner,paul_groussac,Paul Groussac,1
eduardo_gruner,Eduardo Grüner,alfredo_palacios,Alfredo Palacios,2
eduardo_gruner,Eduardo Grüner,juan_domingo_peron,Juan Domingo Perón,2
eduardo_gruner,Eduardo Grüner,costa_mendez,Nicanor Costa Méndez,1
eduardo_gruner,Eduardo Grüner,benjamin_menendez,Mario Benjamín Menéndez,1
eduardo_gruner,Eduardo Grüner,juan_pablo_ii,Juan Pablo II Wojtyła,1
eduardo_gruner,Eduardo Grüner,bernardo_neustadt,Bernardo Neustadt,2
eduardo_gruner,Eduardo Grüner,leonidas,Leónidas I,1
eduardo_gruner,Eduardo Grüner,osvaldo_rossler,Osvaldo Rossler,9
eduardo_gruner,Eduardo Grüner,martinez_estrada,Ezequiel Martínez Estrada,11
eduardo_gruner,Eduardo Grüner,julio_cortazar,Julio Cortázar,4
eduardo_gruner,Eduardo Grüner,san_martin,José de San Martín,1
eduardo_gruner,Eduardo Grüner,napoleon,Napoléon Bonaparte,1
eduardo_gruner,Eduardo Grüner,enrique_santos_discepolo,Enrique Santos Discépolo,3
eduardo_gruner,Eduardo Grüner,joseph_conrad,Joseph Conrad,6
eduardo_gruner,Eduardo Grüner,nicomaco,Nicómaco,1
eduardo_gruner,Eduardo Grüner,rafael_alberto_arrieta,Rafael Alberto Arrieta,1
eduardo_gruner,Eduardo Grüner,pedro_abelardo,Pedro Abelardo,1
eduardo_gruner,Eduardo Grüner,eloisa,Eloísa,1
eduardo_gruner,Eduardo Grüner,walter_benjamin,Walter Benjamin,6
eduardo_gruner,Eduardo Grüner,gabriel_de_mably,Gabriel Bonnot de Mably,2
eduardo_gruner,Eduardo Grüner,george_steiner,George Steiner,4
eduardo_gruner,Eduardo Grüner,heinrich_von_kleist,Heinrich von Kleist,2
eduardo_gruner,Eduardo Grüner,rilke,Rainer Rilke,1
eduardo_gruner,Eduardo Grüner,vladimir_nabokov,Vladimir Nabokov,3
eduardo_gruner,Eduardo Grüner,elias_canetti,Elias Canetti,1
eduardo_gruner,Eduardo Grüner,witold_gombrowicz,Witold Gombrowicz,3
eduardo_gruner,Eduardo Grüner,lezama_lima,José Lezama Lima,3
eduardo_gruner,Eduardo Grüner,johann_herder,Johann Herder,7
eduardo_gruner,Eduardo Grüner,hippolyte_taine,Hippolyte Taine,1
eduardo_gruner,Eduardo Grüner,armando_roche,Armando Almada Roche,1
eduardo_gruner,Eduardo Grüner,gabriela_massuh,Gabriela Massuh,2
eduardo_gruner,Eduardo Grüner,chesterton,Gilbert Keith Chesterton,1
eduardo_gruner,Eduardo Grüner,de_quincey,Thomas De Quincey,1
eduardo_gruner,Eduardo Grüner,ricardo_piglia,Ricardo Piglia,5
eduardo_gruner,Eduardo Grüner,jorge_asis,Jorge Asís,1
eduardo_gruner,Eduardo Grüner,osvaldo_soriano,Osvaldo Soriano,2
eduardo_gruner,Eduardo Grüner,juan_jose_saer,Juan José Saer,1
eduardo_gruner,Eduardo Grüner,manuel_puig,Manuel Puig,2
eduardo_gruner,Eduardo Grüner,hector_libertella,Héctor Libertella,1
eduardo_gruner,Eduardo Grüner,luis_gusman,Luis Gusmán,3
eduardo_gruner,Eduardo Grüner,william_gass,William Gass,1
eduardo_gruner,Eduardo Grüner,rafael_lapesa,Rafael Lapesa,1
eduardo_gruner,Eduardo Grüner,ferdinand_de_saussure,Ferdinand de Saussure,1
eduardo_gruner,Eduardo Grüner,gongora,Luis de Góngora y Argote,1
eduardo_gruner,Eduardo Grüner,mario_teruggi,Mario A. Teruggi,1
eduardo_gruner,Eduardo Grüner,rodolfo_kusch,Rodolfo Kusch,2
eduardo_gruner,Eduardo Grüner,canal_feijoo,Bernardo Canal Feijóo,2
eduardo_gruner,Eduardo Grüner,charles_perrault,Charles Perrault,1
eduardo_gruner,Eduardo Grüner,david_vinias,David Viñas,9
eduardo_gruner,Eduardo Grüner,miguel_briante,Miguel Briante,1
eduardo_gruner,Eduardo Grüner,jose_luis_romero,José Luis Romero,4
eduardo_gruner,Eduardo Grüner,etienne_de_condillac,Étienne Bonnot de Condillac,1
eduardo_gruner,Eduardo Grüner,horacio_quiroga,Horacio Quiroga,1
eduardo_gruner,Eduardo Grüner,jose_pablo_feinmann,José Pablo Feinmann,8
eduardo_gruner,Eduardo Grüner,jean_paul_sartre,Jean-Paul Sartre,51
eduardo_gruner,Eduardo Grüner,esteban_echeverria,Esteban Echeverría,4
eduardo_gruner,Eduardo Grüner,juan_bautista_alberdi,Juan Bautista Alberdi,12
eduardo_gruner,Eduardo Grüner,sarmiento,Domingo Faustino Sarmiento,8
eduardo_gruner,Eduardo Grüner,jose_marmol,José Mármol,5
eduardo_gruner,Eduardo Grüner,juan_manuel_rosas,Juan Manuel de Rosas,7
eduardo_gruner,Eduardo Grüner,plutarco,Plutarco,1
eduardo_gruner,Eduardo Grüner,salvador_ruano,Salvador Ruano,1
eduardo_gruner,Eduardo Grüner,hegel,Georg Wilhelm Friedrich Hegel,6
eduardo_gruner,Eduardo Grüner,nicolas_condorcet,Nicolas Condorcet,4
eduardo_gruner,Eduardo Grüner,jose_hernandez,José Hernández,6
eduardo_gruner,Eduardo Grüner,guillermo_hudson,William Henry Hudson,3
eduardo_gruner,Eduardo Grüner,edward_gibbon,Edward Gibbon,1
eduardo_gruner,Eduardo Grüner,charles_rollin,Charles Rollin,1
eduardo_gruner,Eduardo Grüner,william_whiston,William Whiston,1
eduardo_gruner,Eduardo Grüner,san_agustin,de Hipona Agustín,2
eduardo_gruner,Eduardo Grüner,charles_dickens,Charles Dickens,1
eduardo_gruner,Eduardo Grüner,charles_darwin,Charles Darwin,1
eduardo_gruner,Eduardo Grüner,robert_cunninghame_graham,Robert Bontine Cunninghame Graham,1
eduardo_gruner,Eduardo Grüner,miguel_unamuno,Miguel de Unamuno,2
eduardo_gruner,Eduardo Grüner,ricardo_rojas,Ricardo Rojas,1
eduardo_gruner,Eduardo Grüner,leopoldo_lugones,Leopoldo Lugones,2
eduardo_gruner,Eduardo Grüner,ruben_dario,Rubén Darío,1
eduardo_gruner,Eduardo Grüner,rodolfo_wilcock,Juan Rodolfo Wilcock,1
eduardo_gruner,Eduardo Grüner,macedonio_fernandez,Macedonio Fernández,1
eduardo_gruner,Eduardo Grüner,defilippis_novoa,Francisco Defilippis Novoa,1
eduardo_gruner,Eduardo Grüner,levi_strauss,Claude Lévi-Strauss,4
eduardo_gruner,Eduardo Grüner,paul_ricoeur,Paul Ricoeur,1
eduardo_gruner,Eduardo Grüner,giambattista_vico,Giambattista Vico,1
eduardo_gruner,Eduardo Grüner,carlos_altamirano,Carlos Altamirano,1
eduardo_gruner,Eduardo Grüner,beatriz_sarlo,Beatriz Sarlo,1
eduardo_gruner,Eduardo Grüner,fermin_chavez,Fermín Chávez,1
eduardo_gruner,Eduardo Grüner,halperin_donghi,Tulio Halperín Donghi,1
eduardo_gruner,Eduardo Grüner,michel_jarrety,Michel Jarrety,1
eduardo_gruner,Eduardo Grüner,hans_robert_jauss,Hans Robert Jauss,1
eduardo_gruner,Eduardo Grüner,octavio_paz,Octavio Paz,1
eduardo_gruner,Eduardo Grüner,arturo_roig,Arturo Andrés Roig,1
eduardo_gruner,Eduardo Grüner,jean_starobinski,Jean Starobinski,2
eduardo_gruner,Eduardo Grüner,abelardo_castillo,Abelardo Castillo,1
eduardo_gruner,Eduardo Grüner,oswald_spengler,Oswald Spengler,1
eduardo_gruner,Eduardo Grüner,federico_sainz_de_robles,Federico Carlos Sainz de Robles,1
eduardo_gruner,Eduardo Grüner,manuel_galvez,Manuel Gálvez,1
eduardo_gruner,Eduardo Grüner,hector_murena,Héctor Murena,1
eduardo_gruner,Eduardo Grüner,carlos_astrada,Carlos Astrada,1
eduardo_gruner,Eduardo Grüner,luis_franco,Luis Franco,1
eduardo_gruner,Eduardo Grüner,raul_scalabrini_ortiz,Raúl Scalabrini Ortiz,1
eduardo_gruner,Eduardo Grüner,arturo_jauretche,Arturo Jauretche,1
eduardo_gruner,Eduardo Grüner,oscar_masotta,Óscar Masotta,2
eduardo_gruner,Eduardo Grüner,juan_jose_sebreli,Juan José Sebreli,1
eduardo_gruner,Eduardo Grüner,leonardo_castellani,Leonardo Castellani,1
eduardo_gruner,Eduardo Grüner,ignacio_anzoategui,Ignacio Anzoátegui,1
eduardo_gruner,Eduardo Grüner,juan_jose_hernandez_arregui,Juan José Hernández Arregui,1
eduardo_gruner,Eduardo Grüner,abelardo_ramos,Jorge Abelardo Ramos,1
eduardo_gruner,Eduardo Grüner,milciades_penia,Milcíades Peña,1
eduardo_gruner,Eduardo Grüner,roberto_arlt,Roberto Arlt,3
eduardo_gruner,Eduardo Grüner,jaime_rest,Jaime Rest,1
eduardo_gruner,Eduardo Grüner,pierre_chaunu,Pierre Chaunu,1
eduardo_gruner,Eduardo Grüner,jean_yves_calvez,Jean-Yves Calvez,1
eduardo_gruner,Eduardo Grüner,angel_rama,Ángel Rama,1
eduardo_gruner,Eduardo Grüner,arturo_frondizi,Arturo Frondizi,1
eduardo_gruner,Eduardo Grüner,hector_campora,Héctor Cámpora,1
eduardo_gruner,Eduardo Grüner,raul_alfonsin,Raúl Alfonsín,1
eduardo_gruner,Eduardo Grüner,louis_althusser,Louis Althusser,2
eduardo_gruner,Eduardo Grüner,roland_barthes,Roland Barthes,2
eduardo_gruner,Eduardo Grüner,jacques_derrida,Jacques Derrida,1
eduardo_gruner,Eduardo Grüner,julia_kristeva,Julia Kristeva,1
eduardo_gruner,Eduardo Grüner,spinoza,Baruch Spinoza,3
eduardo_gruner,Eduardo Grüner,fiodor_dostoyevski,Fiódor Dostoyevski,2
