id,name,node_type,birth_year,birth_place,in_degree,out_degree,betweenness,pagerank,eigenvector
jd_salinger,Jerome David Salinger,cited,1919.0,"Nueva York, Estados Unidos",2,0,0.0,0.003472,0.07556
fiodor_dostoyevski,Fiódor Dostoyevski,cited,1821.0,"Moscú, Imperio Ruso",2,0,0.0,0.00347,0.075563
johann_herder,Johann Herder,cited,1744.0,Prusia (actual Polonia),1,0,0.0,0.003467,0.044262
joseph_conrad,Joseph Conrad,cited,1857.0,Imperio Ruso (actual Ucrania),2,0,0.0,0.00346,0.044262
euripides,Eurípides,cited,-480.0,"Salamina, Grecia",1,0,0.0,0.003454,0.0
victor_hugo,Victor Hugo,cited,1802.0,Francia,2,0,0.0,0.003446,0.119825
stan_laurel,Stan Laurel,cited,1890.0,"Ulverston, Reino Unido",1,0,0.0,0.003442,0.07556
bertolt_brecht,Bertolt Brecht,cited,1898.0,"Augsburgo, Alemania",1,0,0.0,0.003442,0.07556
oliver_hardy,Oliver Hardy,cited,1892.0,"Harlem, Estados Unidos",1,0,0.0,0.003442,0.07556
degas,Edgar Degas,cited,1834.0,"París, Francia",1,0,0.0,0.003442,0.07556
marlon_brando,Marlon Brando,cited,1924.0,"Omaha, Estados Unidos",1,0,0.0,0.003442,0.07556
rimbaud,Arthur Rimbaud,cited,1854.0,"Charleville, Francia",1,0,0.0,0.003442,0.07556
luis_aguile,Luis Aguilé,cited,1936.0,"Buenos Aires, Argentina",1,0,0.0,0.003442,0.07556
marilyn_monroe,Marilyn Monroe,cited,1926.0,"Los Ángeles, Estados Unidos",1,0,0.0,0.003442,0.07556
ernest_hemingway,Ernest Hemingway,cited,1899.0,"Oak Park, Estados Unidos",1,0,0.0,0.003442,0.07556
joan_manuel_serrat,Joan Manuel Serrat,cited,1943.0,"Barcelona, España",1,0,0.0,0.003442,0.07556
valery_giscard,Valéry Giscard d'Estaing,cited,1926.0,"Coblenza, Alemania",1,0,0.0,0.003442,0.07556
aquiles_fabregat,Aquiles Fabregat,cited,1938.0,"Montevideo, Uruguay",1,0,0.0,0.003442,0.07556
louis_ferdinand_celine,Louis-Ferdinand Céline,cited,1894.0,Francia,3,0,0.0,0.003441,0.088524
lev_tolstoi,Lev Tolstói,cited,1828.0,"Yásnaya Poliana, Rusia",2,0,0.0,0.00344,0.075563
ernesto_sabato,Ernesto Sabato,cited,1911.0,Argentina,1,0,0.0,0.003437,0.044262
che_guevara,Ernesto Guevara,cited,1928.0,"Rosario, Argentina",1,0,0.0,0.003437,0.044262
alfredo_palacios,Alfredo Palacios,cited,1878.0,Buenos Aires,1,0,0.0,0.003437,0.044262
juan_domingo_peron,Juan Domingo Perón,cited,1895.0,"Lobos, Argentina",1,0,0.0,0.003437,0.044262
raul_gustavo_aguirre,Raúl Gustavo Aguirre,cited,1927.0,"Buenos Aires, Argentina",1,0,0.0,0.003436,0.044262
leopoldo_galtieri,Leopoldo Fortunato Galtieri,cited,1926.0,"Caseros, Argentina",1,0,0.0,0.003436,0.044262
basilio_lami_dozo,Basilio Lami Dozo,cited,1929.0,"Santiago del Estero, Argentina",1,0,0.0,0.003436,0.044262
