id,name,birth_year,death_year,birth_place_raw,country,region,period,wikidata,lifespan
gustave_flaubert,Gustave Flaubert,1821.0,1880.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q43444,59.0
champfleury,Jules Champfleury,1821.0,1889.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q744488,68.0
jules_goncourt,Jules Goncourt,1830.0,1870.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q1234248,40.0
charles_dickens,Charles Dickens,1812.0,1870.0,Inglaterra,United Kingdom,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q5686,58.0
george_sand,George Sand,1804.0,1876.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q3816,72.0
isaac_pereire,Isaac Pereire,1806.0,1880.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q1673436,74.0
emile_pereire,Émile Pereire,1800.0,1875.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q19260104,75.0
victor_hugo,Victor Hugo,1802.0,1885.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q535,83.0
leon_xiii,XIII León,1810.0,1903.0,Estados Pontificios (actual Italia),Italy,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q43922,93.0
eugene_bontoux,Eugène Bontoux,1820.0,1905.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q3371183,85.0
joan_miro,Joan Miró,1893.0,1983.0,España,Spain,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q152384,90.0
juarez_celman,Miguel Juárez Celman,1844.0,1909.0,Argentina,Argentina,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q438892,65.0
ludovico_halevy,Ludovic Halévy,1834.0,1908.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q723585,74.0
geoffroy_saint_hilaire,Isidore Geoffroy Saint-Hilaire,1805.0,1861.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q521190,56.0
charles_darwin,Charles Darwin,1809.0,1882.0,Inglaterra,United Kingdom,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q1035,73.0
jean_martin_charcot,Jean-Martin Charcot,1825.0,1893.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q20710,68.0
marcial,Marco Marcial,40.0,103.0,Imperio Romano (Hispania),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q2098,63.0
herodias,Herodías,-15.0,39.0,"Jerusalén, Reino de Judea (Imperio Romano)",United States,North America,Hellenistic/Roman,http://www.wikidata.org/entity/Q230091,54.0
johann_lavater,Johann Lavater,1741.0,1801.0,Suiza,Switzerland,Western Europe,Early Modern,http://www.wikidata.org/entity/Q123918,60.0
louis_blanc,Louis Blanc,1811.0,1882.0,España,Spain,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q355112,71.0
adolphe_thiers,Adolphe Thiers,1797.0,1877.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q5738,80.0
franz_bopp,Franz Bopp,1791.0,1867.0,Electorado de Maguncia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q76934,76.0
poncio_pilatos,Poncio Pilato,,,Imperio Romano (actual Italia),Italy,Western Europe,Unknown,http://www.wikidata.org/entity/Q17131,
jules_michelet,Jules Michelet,1798.0,1874.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q310791,76.0
karl_marx,Karl Marx,1818.0,1883.0,Prusia (actual Alemania),Germany,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q9061,65.0
anatole_france,Anatole France,1844.0,1924.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q42443,80.0
robert_misrahi,Robert Misrahi,1926.0,2023.0,Francia,France,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q3435931,97.0
francois_zola,François Zola,1796.0,1847.0,República de Venecia (actual Italia),Italy,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q3086081,51.0
lev_urusof,Lev Urusov,1877.0,1933.0,Imperio Ruso,Imperio Ruso,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q12763,56.0
joseph_bollery,Joseph Bollery,1880.0,1973.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q52668608,93.0
gustav_janouch,Gustav Janouch,1903.0,1968.0,Imperio Austrohúngaro (actual Austria),Austria,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q328537,65.0
raissa_umansof,Raïssa Oumançoff,1883.0,1960.0,Imperio Ruso,Imperio Ruso,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q1648752,77.0
jacques_maritain,Jacques Maritain,1882.0,1973.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q45723,91.0
ruben_dario,Rubén Darío,1867.0,1916.0,Nicaragua,Nicaragua,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q173767,49.0
dante_alighieri,Dante Alighieri,1265.0,1321.0,República de Florencia (actual Italia),Italy,Western Europe,Medieval,http://www.wikidata.org/entity/Q1067,56.0
ernest_hello,Ernest Hello,1828.0,1885.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q557496,57.0
arthur_meyer,Arthur Meyer,1844.0,1924.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q2865261,80.0
paul_verlaine,Paul Verlaine,1844.0,1896.0,Francia,France,Western Europe,Revolutionary Era,http://www.wikidata.org/entity/Q755,52.0
san_pablo_persona,de Tarso Pablo,5.0,67.0,Imperio Romano (actual Turquía),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q9200,62.0
san_jose,San José,-50.0,20.0,Imperio Romano (Judea),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q128267,70.0
fiodor_dostoyevski,Fiódor Dostoyevski,1821.0,1881.0,"Moscú, Imperio Ruso","Moscú, Imperio Ruso",Other/Unknown,Revolutionary Era,http://www.wikidata.org/entity/Q991,60.0
jeanne_molbech,Jeanne Molbech,1859.0,1950.0,Dinamarca,Denmark,Scandinavia,Long 19th Century,http://www.wikidata.org/entity/Q58187437,91.0
morris_rosenfeld,Morris Rosenfeld,1862.0,1923.0,Polonia (Imperio Ruso),Poland,Eastern Europe,Long 19th Century,http://www.wikidata.org/entity/Q126519,61.0
moses_hadas,Moses Hadas,1900.0,1966.0,Estados Unidos,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q4476165,66.0
jose_bianco,José Bianco,1908.0,1986.0,Argentina,Argentina,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q1709049,78.0
san_juan_persona,San Juan,6.0,100.0,Imperio Romano (Galilea),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q328804,94.0
